ID,YEAR,MONTH,MAIN,BAKER,BLUEBONNET,CARVER,CENTRAL,DELMONT GARDENS,EDEN PARK,FAIRWOOD,GREENWELL SPRINGS,JONES CREEK,PRIDE,RIVER CENTER,SCOTLANDVILLE,ZACHARY,GATE COUNT TOTAL,RECYCLED READS
201908,2019,August,47609,7716,27600,11790,8129,14271,12685,9759,6020,20245,3879,5221,10657,11017,196986,388
201905,2019,May,50148,7801,25125,8409,7610,12520,12075,8223,5193,22664,3603,5246,9789,12073,190795,316
201906,2019,June,53075,7655,27586,12827,9859,15610,12452,10064,6445,27497,3885,5551,10813,12701,216376,356
201907,2019,July,46956,7154,26429,9896,8669,14196,10065,10210,6477,24192,4053,4926,9537,11850,195043,433
201707,2017,July,50910,8200,21925,10128,8704,12663,9941,8096,9007,20281,3104,4614,10124,11297,188994,375
201706,2017,June,49874,7672,23673,11400,9310,10500,9262,8634,9919,21125,3334,4421,9712,12409,191245,165
201705,2017,May,48400,8386,21481,8744,7223,11566,9517,8102,8186,16379,2827,4117,8996,11311,175235,228
201704,2017,April,48080,7114,19484,7835,6353,11646,8165,8571,7161,15214,2610,4065,9652,8885,164835,207
201703,2017,March,52809,8202,21863,10767,8224,13410,9665,9789,5799,16004,2686,4416,10008,10556,184198,128
201702,2017,February,48922,7191,19677,9059,7914,11568,9611,8891,0,15015,2280,3489,9878,9452,162947,157
201701,2017,January,67909,7404,20040,8797,7118,12273,9980,8915,0,15825,2300,3965,10310,9744,184580,223
201612,2016,December,45244,6142,18103,8171,6479,10969,9549,8463,0,15301,2200,3578,8935,8891,152025,0
201611,2016,November,46019,7048,21179,9177,6744,12398,9235,9811,0,15735,2407,3548,9700,10362,163363,0
201610,2016,October,54973,8113,21319,9648,8306,13370,11488,10463,0,17030,3799,4248,12056,10710,185523,225
201609,2016,September,46966,7664,20961,9098,8366,13443,9897,10456,0,15738,2587,2326,11667,10885,170054,206
201608,2016,August,37572,5904,18184,7095,6386,11478,9597,7929,0,12541,2258,1635,10000,9444,140023,0
201607,2016,July,48643,8031,21519,9256,8610,13351,9545,10783,12476,19647,2933,1045,10712,11127,187678,266
201606,2016,June,54165,8878,23480,10931,9795,15256,9286,11882,13492,19924,3620,7281,10014,12732,210736,210
201605,2016,May,49352,8693,18682,9112,7107,12887,8457,10448,11765,20960,2480,7689,9067,11856,188555,188
